PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Coaffee, J; O'Hare, P				Coaffee, J.; O'Hare, P.			Urban resilience and national security: the role for planning	PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-URBAN DESIGN AND PLANNING			English	Article						buildings; structures & design; disaster engineering; safety & hazards		In recent years, the activity of protecting against and planning responses to the wide range of security challenges that threaten cities and urban areas-from natural disasters such as flooding and anthropogenic climate change to crime and terrorism-has been referred to as 'urban resilience'. In this sense, urban resilience refers to both the design alterations (structural, architectural, land-use planning) and managerial and governance measures that seek to prevent or mitigate the physical and social vulnerability of areas, ultimately to protect life, property and economic activity. Against this background, this paper analyses attempts to embed physical and managerial resilience in urban areas to counter the risk from terrorist attacks. Specifically, it highlights the expanded role for the spatial planning system in meeting and mediating pressures for increased safety and security. Drawing on historical examples, but paying particular attention to the current UK context, the paper details how the planning profession is becoming more responsible for counter-terrorism; this is leading not only to requirements for further training but also to concerns regarding efficacy. This work also questions how proportionate the pressures to achieve counter-terrorism resilience are, particularly given the higher likely incidence and impact of natural disasters.	[Coaffee, J.; O'Hare, P.] Univ Manchester, Ctr Urban Policy Studies, Manchester, Lancs, England	University of Manchester	Coaffee, J (corresponding author), Univ Manchester, Ctr Urban Policy Studies, Manchester, Lancs, England.				Engineering and Physical Sciences Research Council [EP/F008635/1]; EPSRC [EP/F008635/1] Funding Source: UKRI	Engineering and Physical Sciences Research Council(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)); EPSRC(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC))	The research for this paper was supported by an Engineering and Physical Sciences Research Council grant (EP/F008635/1) entitled Resilient Design (RE-DESIGN) for Counter-terrorism: Decision Support for Designing Effective and Acceptable Resilient Places. Thanks also to Lawrence Vale at MIT (Cambridge, MA) for use of the images used in Figs 2 and 3.		42	9	9	0	2	ICE PUBLISHING	WESTMINISTER	INST CIVIL ENGINEERS, 1 GREAT GEORGE ST, WESTMINISTER SW 1P 3AA, ENGLAND	1755-0793	1755-0807		PROC INST CIV ENG-U	Proc. Inst. Civ. Eng.-Urban Des. Plan.	DEC	2008	161	4					173	182	800034	10.1680/udap.2008.161.4.173	http://dx.doi.org/10.1680/udap.2008.161.4.173			10	Urban Studies	Emerging Sources Citation Index (ESCI)	Urban Studies	V27PU					2023-10-25	WOS:000215372500005
J	Ahern, J				Ahern, Jack			Urban landscape sustainability and resilience: the promise and challenges of integrating ecology with urban planning and design	LANDSCAPE ECOLOGY			English	Article						Urban sustainability; Urban resilience; Strategic planning; Urban biodiversity	CONSERVATION; BIODIVERSITY; SCIENCE	The twenty-first century global population will be increasingly urban-focusing the sustainability challenge on cities and raising new challenges to address urban resilience capacity. Landscape ecologists are poised to contribute to this challenge in a transdisciplinary mode in which science and research are integrated with planning policies and design applications. Five strategies to build resilience capacity and transdisciplinary collaboration are proposed: biodiversity; urban ecological networks and connectivity; multifunctionality; redundancy and modularization, adaptive design. Key research questions for landscape ecologists, planners and designers are posed to advance the development of knowledge in an adaptive mode.	Univ Massachusetts, Amherst, MA 01003 USA	University of Massachusetts System; University of Massachusetts Amherst	Ahern, J (corresponding author), Univ Massachusetts, Amherst, MA 01003 USA.	jfa@ipo.umass.edu							48	354	372	40	643	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0921-2973	1572-9761		LANDSCAPE ECOL	Landsc. Ecol.	JUL	2013	28	6					1203	1212		10.1007/s10980-012-9799-z	http://dx.doi.org/10.1007/s10980-012-9799-z			10	Ecology; Geography, Physical; Geosciences, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Physical Geography; Geology	175UZ					2023-10-25	WOS:000321260400017
J	Hamilton, WAH				Hamilton, W. A. H.			Resilience and the city: the water sector	PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-URBAN DESIGN AND PLANNING			English	Article						floods and floodworks; social impact; water supply		This paper describes historical measures taken by the water sector to increase resilience. Drawing mainly on UK practice and experience in England and Wales, it includes a brief discussion on the nature of urban resilience and on some of the technical, social, political, institutional and environmental factors involved. The main part of the paper covers the measures used to increase resilience in the sector, including those related to water resources, supply, drainage, flood protection and co- systems. The paper concludes with notes on recent developments in the UK, with particular emphasis on the serious urban flooding incidents in the last eight years and their implications for urban resilience.	[Hamilton, W. A. H.] Black & Veatch Consulting Engineers, London, England		Hamilton, WAH (corresponding author), Black & Veatch Consulting Engineers, London, England.								42	21	21	0	1	ICE PUBLISHING	WESTMINISTER	INST CIVIL ENGINEERS, 1 GREAT GEORGE ST, WESTMINISTER SW 1P 3AA, ENGLAND	1755-0793	1755-0807		PROC INST CIV ENG-U	Proc. Inst. Civ. Eng.-Urban Des. Plan.	SEP	2009	162	3					109	121		10.1680/udap.2009.162.3.109	http://dx.doi.org/10.1680/udap.2009.162.3.109			13	Urban Studies	Emerging Sources Citation Index (ESCI)	Urban Studies	V27QO					2023-10-25	WOS:000215374500006
J	Agudelo-Vera, CM; Leduc, WRWA; Mels, AR; Rijnaarts, HHM				Agudelo-Vera, Claudia M.; Leduc, Wouter R. W. A.; Mels, Adriaan R.; Rijnaarts, Huub H. M.			Harvesting urban resources towards more resilient cities	RESOURCES CONSERVATION AND RECYCLING			English	Article						Urban metabolism; Urban harvest; Resources management; Urban energy; Urban water; Urban planning	BUILT ENVIRONMENT; WATER; METABOLISM; SUSTAINABILITY; MANAGEMENT; INFRASTRUCTURE; ECOLOGY; DESIGN; ENERGY; CITY	With accelerating global changes, cities have to cope with growing pressures, especially for resource supply. Cities may be considered as resources reservoirs and producers of secondary resources. This paper introduces the concept of urban harvesting as a management tool to change inefficient linear urban resource usage and waste production into sustainable urban metabolism. The Urban Harvest concept includes urban metabolism and closing urban cycles by harvesting urban resources. The purpose of this study was to quantify the potentials to harvest water and energy at different scales. We investigated potentials for the Netherlands. Results show that at national scale, potentials can cover up to 100% of electricity demand, 55% of heat demand and 52% of tap water demand. At neighborhood level, similar percentages were found for energy. Only 43% of water demand was achieved, due to fact that treatment measures were not considered. These results indicate the large potential of cities as providers of their own resources. Therefore urban resources management is a key element of future city design towards more resilient cities. (C) 2012 Elsevier B.V. All rights reserved.	[Agudelo-Vera, Claudia M.; Mels, Adriaan R.; Rijnaarts, Huub H. M.] Wageningen Univ, Subdept Environm Technol, NL-6700 AA Wageningen, Netherlands; [Leduc, Wouter R. W. A.] Wageningen Univ, RiBuilT, Res Inst Built Environm Tomorrow, Hogesch Zuyd Heerlen, NL-6700 AA Wageningen, Netherlands; [Leduc, Wouter R. W. A.] Wageningen Univ, Landscape Architecture Chairgrp, NL-6700 AA Wageningen, Netherlands	Wageningen University & Research; Wageningen University & Research; Wageningen University & Research	Agudelo-Vera, CM (corresponding author), Wageningen Univ, Subdept Environm Technol, POB 17, NL-6700 AA Wageningen, Netherlands.	Claudia.agudelo@wur.nl; Wouter.leduc@wur.nl; Adriaan.mels@wur.nl; Huubsijnaarts@wur.nl	Mels, Adriaan/AFW-4780-2022; Rijnaarts, Huub/A-4268-2014	Rijnaarts, Huub/0000-0001-6607-1256	European Commission [018530]; Agency NL, the Dutch agency for Innovation and Sustainable Development [EOSLT03029]	European Commission(European Union (EU)European Commission Joint Research Centre); Agency NL, the Dutch agency for Innovation and Sustainable Development	This research has been carried out within the framework of two projects: the European project SWITCH - Sustainable Water management Improving Tomorrow's Cities' Health, supported by the European Commission through the 6th Framework Programme, Contract number 018530. And the Dutch project SREX - Synergies between Exergy and Spatial Planning, supported by Agency NL, the Dutch agency for Innovation and Sustainable Development, project number EOSLT03029.		57	97	100	6	131	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0921-3449	1879-0658		RESOUR CONSERV RECY	Resour. Conserv. Recycl.	JUL	2012	64				SI		3	12		10.1016/j.resconrec.2012.01.014	http://dx.doi.org/10.1016/j.resconrec.2012.01.014			10	Engineering, Environmental; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Environmental Sciences & Ecology	978XG					2023-10-25	WOS:000306778500002
J	Monteiro, A; Carvalho, V; Velho, S; Sousa, C				Monteiro, Ana; Carvalho, Vania; Velho, Sara; Sousa, Carlos			Assessing and monitoring urban resilience using COPD in Porto	SCIENCE OF THE TOTAL ENVIRONMENT			English	Article						COPD; Urban form; Social and environmental inequalities index (SEII); Multi-criteria hierarchical analysis	OBSTRUCTIVE PULMONARY-DISEASE; SOCIOECONOMIC-STATUS; HEALTH; SUSCEPTIBILITY; EPIDEMIOLOGY	Background: COPD morbidity is a good example of how the urban form may interfere with a disease's severity. Then, it may play an important role as a stimulus to increase the acceptability of several policy actions that aim to upgrade urban resilience. Despite the multiple dimensions of wellbeing, health is surely a key variable attracting everyone's attention, which is thus more likely to be able to persuade people that actions that may at first seem undesirable are fundamental in improving urban sustainability and well-being. Methods: After creating a short list of socio-economic and environmental factors relating to the onset and aggravation of COPD, daily admissions distributions were compared using both a non-weighted and a weighted multi-criteria hierarchical analysis procedure. Results: Porto's COPD Social and Environmental Inequalities Index (SEII), calculated with a hierarchical analysis procedure, accurately illustrates a great relationship between COPD admissions and adverse urban form variables. Conclusion: COPD may be an important communication tool to stimulate the acceptability of some otherwise unpopular planning measures to improve urban resilience (sustainability and well-being). (C) 2011 Elsevier B.V. All rights reserved.	[Monteiro, Ana] Univ Porto, ISPUP, CITTA, Dept Geog,Projecto FCT PTDC SAU ESA 73016 2006, P-4050564 Oporto, Portugal; [Carvalho, Vania; Velho, Sara; Sousa, Carlos] Univ Porto, ISPUP, CITTA, Fac Med,Projecto FCT PTDC SAU ESA 73016 2006, P-4050564 Oporto, Portugal	Universidade do Porto; Universidade do Porto	Monteiro, A (corresponding author), Univ Porto, ISPUP, CITTA, Dept Geog,Projecto FCT PTDC SAU ESA 73016 2006, Via Panoram S No, P-4050564 Oporto, Portugal.	anamonteirosousa@gmail.com; carvalho.vania@gmail.com; sara.ip.velho@gmail.com; cmiguelix@gmail.com		Monteiro, Ana/0000-0002-3392-2664					29	19	19	0	35	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0048-9697	1879-1026		SCI TOTAL ENVIRON	Sci. Total Environ.	JAN 1	2012	414						113	119		10.1016/j.scitotenv.2011.11.009	http://dx.doi.org/10.1016/j.scitotenv.2011.11.009			7	Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Environmental Sciences & Ecology	894WZ	22154181				2023-10-25	WOS:000300459500014
J	Lu, PW; Stead, D				Lu, Peiwen; Stead, Dominic			Understanding the notion of resilience in spatial planning: A case study of Rotterdam, The Netherlands	CITIES			English	Article						Water management; Spatial planning; Resilience; Rotterdam; The Netherlands	SOCIAL-ECOLOGICAL SYSTEMS; CLIMATE-CHANGE; PERSPECTIVE; STABILITY; POLICY	The notions of urban resilience and the resilient city have gained considerable attention and interest over recent years, not only in relation to environmental management but also in terms of urban planning. The notion of urban resilience is not just confined to academic discourses - it is increasingly prevalent in urban policy documents. This paper examines awareness and understanding of urban resilience in the planning policy arena in Rotterdam, The Netherlands, where planning has a long history of managing water. Specific attention in the paper is paid to the issue of climate change and how planning processes in the city consider or deal with the risks that it presents. The ways in which the city assesses and prepares for these risks or threats form the two main areas of analysis. The paper concludes that evidence of resilient thinking can be found at all levels of decision-making, ranging from the transnational to local levels. However, the notion of resilience is still quite fuzzy and its significance can vary substantially between policy officials and between policy documents, sometimes even within the same administration. (C) 2013 Elsevier Ltd. All rights reserved.	[Lu, Peiwen] Delft Univ Technol, Fac Architecture, Dept Urbanism, NL-2628 BL Delft, Netherlands; [Stead, Dominic] Delft Univ Technol, OTB Res Inst, NL-2628 BL Delft, Netherlands	Delft University of Technology; Delft University of Technology	Lu, PW (corresponding author), Delft Univ Technol, Fac Architecture, Dept Urbanism, Julianalaan 134, NL-2628 BL Delft, Netherlands.	Peiwen.Lu@tudelft.nl	Stead, Dominic/O-8029-2014	Stead, Dominic/0000-0002-8198-785X					69	136	148	9	194	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0264-2751	1873-6084		CITIES	Cities	DEC	2013	35				SI		200	212		10.1016/j.cities.2013.06.001	http://dx.doi.org/10.1016/j.cities.2013.06.001			13	Urban Studies	Social Science Citation Index (SSCI)	Urban Studies	250IY					2023-10-25	WOS:000326847700022
J	Tezer, A; Yaman, ZD; Altun, AO; Albayrak, L				Tezer, Azme; Yaman, Zeynep Deniz; Altun, Ayse Ozyetgin; Albayrak, Like			URBAN RESILIENCE AND ECOSYSTEM SERVICES: HOW CAN BE INTEGRATED IN THE CASE OF ISTANBUL - SULTANBEYLI DISTRICT?	TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT			English	Article						Ecosystem services (ES); urban resilience (UR); informal housing; Istanbul; Sultanbeyli	PERSPECTIVE	As estimated by UN, in 2030, 95 % of population growth will result from urban areas while a few metropolitan areas of rapidly growing developing countries will absorb much of this growth. Due to the accelerated urban growth and uncontrolled urban dispersion through naturally significant areas, sustainable urban growth management becomes a critical urban development policy for the global agenda. Istanbul has been attracting much of the internal migration with a dramatic urban growth process since 1950s and Istanbul Province, with over 12 million people in 2010, is the most populated city of Turkey. Sultanbeyli, as a unique case for informal housing development in Istanbul, expanded like mushrooming after 1980's and located itself on the largest drinking water source of Istanbul: the Omerli Watershed. The population of the Sultanbeyli District grew from 82,298 (1990 census) to 272,758 people (2007 census) (TUIK, 1990; 2007): more than threefold increase in less than two decades with consequent environmental degradation, uncontrolled ground water pumping, lack of drinking and waste water infrastructures. These factors endanger the well-being of the environment and of the society. On the other hand, the serious poverty problem is the main concern in Sultanbeyli for urban resilience (UR) which can be defined as the degree to which cities are able to tolerate alteration before reorganizing around a new set of structures and processes and which can be measured by how well a city can simultaneously balance ecosystem services (ES) and human functions (Resilience Alliance, 2007). This paper aims to discuss how to integrate ecosystem services and resilience theory which will be essential to resolve the problems reflected by social, economic and administrative characteristics of the Sultanbeyli District to enhance its urban resilience capacity in Istanbul.	[Tezer, Azme; Yaman, Zeynep Deniz; Altun, Ayse Ozyetgin] Istanbul Tech Univ, Urban & Reg Planning Dept, Istanbul, Turkey; [Albayrak, Like] Istanbul Tech Univ, Landscape Architecture PhD Program, Istanbul, Turkey	Istanbul Technical University; Istanbul Technical University	Tezer, A (corresponding author), Istanbul Tech Univ, Urban & Reg Planning Dept, Istanbul, Turkey.	tezera@itu.edu.tr	Tezer, Azime/S-4901-2016; altun, ayşe özyetgin/AAE-7618-2022	Tezer, Azime/0000-0003-2008-1189; 	TUBITAK [108K615]	TUBITAK(Turkiye Bilimsel ve Teknolojik Arastirma Kurumu (TUBITAK))	This paper is produced under the TUBITAK Project No. 108K615 "Integrating Ecosystem Services into Spatial Planning". The authors would like to express their gratitude to the project research-group members, Prof. Necla Ulugtekin, Assist. Prof. Ozhan Ertekin and Assist. Prof. Cigdem Goksel for their valuable contribution in the project.		68	1	1	0	2	UNIV STUDI NAPOLI FEDERICO II, DIPT PIANIFICAZIONE & SCIENZA TERRITORIO	NAPLES	PIAZZALE TECCHIO 80, NAPLES, 80125, ITALY	1970-9889	1970-9870		TEMA	TeMA	AUG	2012	5	2					159	175		10.6092/1970-9870/912	http://dx.doi.org/10.6092/1970-9870/912			17	Urban Studies	Emerging Sources Citation Index (ESCI)	Urban Studies	V1Q1E					2023-10-25	WOS:000217132500011
J	Schimmel, KS				Schimmel, Kimberly S.			Protecting the NFL/militarizing the homeland: Citizen soldiers and urban resilience in post-9/11 America	INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT			English	Article						battlespace; government contractor defense; NFL; post-9; 11 America; SAFETY Act; urban resilience; US Department of Homeland Security	SPORTS	In this article I focus on intersections between the National Football League's (NFL) security practices and the US Department of Homeland Security's (DHS) counter-terrorism agenda, including new policies and legal structures that support pre-emption, protection, and preparation activities that manage and mitigate the effects of terrorist attacks. As I will argue, the intensifying and mutually supportive relationship between the NFL and the various forces employed to keep it safe is both unique in US sports and implies the militarization of football fans in somewhat unexpected ways. I will argue that the security strategies of the US government and those of the NFL are mutually beneficial in ways that help secure the NFL's position and profitability and, more importantly, help implement and secure consensus for the US Department of Homeland Security's continued 'war on terror'. Coaffee's recent work on urban resilience in the UK (Coaffee, 2009; Coaffee and Wood, 2006) contends that in the present historical moment, 'security is becoming more civic, urban, domestic, and personal' (Coaffee, 2009: 9). How, if at all, does resilience play out in the context of anti-terrorism policy in post-9/11 America? How, if at all, does US professional football articulate with that policy? These are two key questions I intend to address during the course of this article.	Kent State Univ, Sch Fdn Leadership & Adm, Kent, OH 44242 USA	University System of Ohio; Kent State University; Kent State University Salem; Kent State University Kent	Schimmel, KS (corresponding author), Kent State Univ, Sch Fdn Leadership & Adm, Kent, OH 44242 USA.	kschimme@kent.edu							70	20	20	2	19	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1012-6902	1461-7218		INT REV SOCIOL SPORT	Int. Rev. Sociol. Sport	JUN	2012	47	3			SI		338	357		10.1177/1012690211433479	http://dx.doi.org/10.1177/1012690211433479			20	Hospitality, Leisure, Sport & Tourism; Sociology	Social Science Citation Index (SSCI)	Social Sciences - Other Topics; Sociology	951DA					2023-10-25	WOS:000304699800006
J	Galderisi, A; Ferrara, FF				Galderisi, Adriana; Ferrara, Floriana Federica			ENHANCING URBAN RESILIENCE IN FACE OF CLIMATE CHANGE<SUP>1</SUP>. A Methodological Approach	TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT			English	Article						urban resilience; adaptation; climate change		Climate change can be considered as one of the main environmental topic of the 21st century (IPCC, 2011). It poses a serious challenge for cities all over the world (EEA, 2012): cities show, on the one hand a high level of vulnerability in face of climate change, on the other hand, they are responsible for 60% to 80% of global energy consumption and greenhouse gas (GHG) emissions, which represent the main causes of change in climate conditions. In 2011, the 73% of European population was living in urban areas and the level of urbanization is expected to be at 82% by 2050 (UN, 2012). Due to the evidence that in Europe the 69% of all GHG emissions are currently generated by cities, larger and larger is the attention devoted, by scientific literature and policy makers, to outline strategies for urban adaptation to climate change, both at European and local scale. Governments and scholars currently highlight the need for strengthening urban resilience in face of climate change and related consequences. By this perspective, some actions are already running, even though a clear identification of the features which make a city resilient in face of climate change is still missing. To fill this gap, this contribution is mainly addressed to: provide, by integrating different disciplinary perspectives, a conceptual model of the set of adaptive capacities and properties that characterize a resilient system; verify, starting from a snapshot of current strategies and actions for urban adaptation currently implemented at European level, the consistency between those strategies and the identified set of resilience capacities and properties.	[Galderisi, Adriana] Univ Napoli Federico II, DiPiST, Naples, Italy	University of Naples Federico II	Galderisi, A (corresponding author), Univ Napoli Federico II, DiPiST, Naples, Italy.	galderis@unina.it; floriana.ferrara@gmail.com	Galderisi, Adriana/M-7860-2019						48	26	26	0	1	UNIV STUDI NAPOLI FEDERICO II, DIPT PIANIFICAZIONE & SCIENZA TERRITORIO	NAPLES	PIAZZALE TECCHIO 80, NAPLES, 80125, ITALY	1970-9889	1970-9870		TEMA	TeMA	AUG	2012	5	2					69	87		10.6092/1970-9870/936	http://dx.doi.org/10.6092/1970-9870/936			19	Urban Studies	Emerging Sources Citation Index (ESCI)	Urban Studies	V1Q1E					2023-10-25	WOS:000217132500005
J	Colucci, A				Colucci, Angela			TOWARDS RESILIENT CITIES COMPARING APPROACHES/STRATEGIES	TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT			English	Article						Resilience; Urban Planning; Risk Mitigation		The term "resilience" is used in many disciplines with different meanings. We will adopt the ecological concept of resilience, which epitomises the capacity of a system to adapt itself in response to the action of a force, achieving a state of equilibrium different from the original (White, 2011). Since the end of the last century, with a significant increase over the last few years, resilience has featured as key concept in many technical, political papers and documents, and appears in many researches. Of all this recent and varied range of literature, our focus is on those texts that combine resilience with strategies, processes and models for resilient cities, communities and regions. Starting from the resilience strategies developed as response for risks mitigation, the paper thus explores other approaches and experiences on cities resilience that have been conducted: the aim is to compare and identify innovation in the planning process towards risks mitigation. In this paper we present a summary of the initial survey stage of our research, with three main aims: understanding the approaches to resilience developed so far and identifying which aspects these approaches share (or not); - understanding which strategies are being proposed for resilient regions, cities or social ecological systems; - understanding whether proposed resilience strategies involve innovations in urban and regional development disciplines. The aim is to understand whether the proposed concept of resilience, or rather strategies, constitute progress and contribute to innovation in the areas of urban planning and design in relation to risk mitigation.	[Colucci, Angela] Politecn Milan, Dipartimento Architettura & Pianificaz, Milan, Italy	Polytechnic University of Milan	Colucci, A (corresponding author), Politecn Milan, Dipartimento Architettura & Pianificaz, Milan, Italy.	angela.colucci@polimi.it	Colucci, Angela/AAQ-2021-2020						24	19	19	0	2	UNIV STUDI NAPOLI FEDERICO II, DIPT PIANIFICAZIONE & SCIENZA TERRITORIO	NAPLES	PIAZZALE TECCHIO 80, NAPLES, 80125, ITALY	1970-9889	1970-9870		TEMA	TeMA	AUG	2012	5	2					101	116		10.6092/1970-9870/921	http://dx.doi.org/10.6092/1970-9870/921			16	Urban Studies	Emerging Sources Citation Index (ESCI)	Urban Studies	V1Q1E					2023-10-25	WOS:000217132500007
J	Dieleman, H				Dieleman, Hans			Organizational learning for resilient cities, through realizing eco-cultural innovations	JOURNAL OF CLEANER PRODUCTION			English	Article						Climate change; Resilient cities; Organizational learning; Artful doing; Eco-cultural innovations; Educational methodology		This article is about cities and climate change, and about ways to make cities more resilient to the effects of climate change. It presents the two dominant strategies of mitigation and adaptation, and goes on to present a systems view on the city in which resilience is the key response to climate change. The article argues that resilience depends on three dimensions or areas: a city's physical form, infrastructure and technology, its people and particular multilevel governance, levels of human connectedness and communal self-reliance, and the innovative capacity as well as the level of inclusion of marginalized groups within the economy. Teaching and training is seen as an important element in strengthening resilience, and the article presents a number of case studies showing the relevance of learning processes as conditions to work successfully in urban networks in the areas mentioned. The article takes organizational learning as its main orientation and presents important concepts such as "reflective action", "learning by doing", "mental maps", the "experiential learning cycle" and the "5 disciplines of the learning organization". This forms the base for the design of concrete educational material. This material is centered on a number of eco-cultural innovations: concrete ideas, technologies, systems or activities that focus on neighborhood-based activities that reinforce the local economy or introduce small-scale technology for water, renewable energy or waste. (C) 2012 Elsevier Ltd. All rights reserved.	Autonomous Univ Mexico City, Ctr Urban Studies, Coll Sci & Humanities, Mexico City, DF, Mexico	Universidad Nacional Autonoma de Mexico	Dieleman, H (corresponding author), Autonomous Univ Mexico City, Ctr Urban Studies, Coll Sci & Humanities, Mexico City, DF, Mexico.	hansdieleman@gmail.com							45	39	42	2	78	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0959-6526	1879-1786		J CLEAN PROD	J. Clean Prod.	JUL 1	2013	50						171	180		10.1016/j.jclepro.2012.11.027	http://dx.doi.org/10.1016/j.jclepro.2012.11.027			10	Green & Sustainable Science & Technology; Engineering, Environmental; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Engineering; Environmental Sciences & Ecology	165NM					2023-10-25	WOS:000320490600017
J	da Silva, J; Kernaghan, S; Luque, A				da Silva, Jo; Kernaghan, Sam; Luque, Andres			A systems approach to meeting the challenges of urban climate change	INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT			English	Article						urban resilience; poverty; climate change; systems approach; urbanisation; governance	CITIES; MITIGATION; RESILIENCE; ADAPTATION; GOVERNANCE; INSIGHTS	This article identifies the future challenges that cities face in their ability to create well-being, particularly for urban poor communities, as a result of the compound effect generated by climate change - distinguishing between direct impacts, indirect effects and pre-existing vulnerability. This suggests that action to reduce exposure and improve the adaptive capacity of urban populations must therefore simultaneously address disaster risk reduction, urban poverty reduction and urban resilience (i.e. the ability of the city to maintain the functions that support the well-being of its citizens). Based on evidence and experience from 10 cities which form part of the Asian Cities Climate Change Resilience Network (www.acccrn.org), this article proposes that a simplified conceptual model and resilience characteristics be used to analyse urban systems, in parallel with spatial analysis, to target action at multiple levels to reduce exposure and improve the adaptive capacity of urban populations simultaneously.	[da Silva, Jo] Arup, Int Dev, London, England; [Kernaghan, Sam] Arup, Int Dev, Bangkok, Thailand; [Luque, Andres] Univ Durham, Ctr Doctoral Training Energy, Durham, England; [Luque, Andres] Univ Durham, Geog Dept, Durham, England	Durham University; Durham University	Kernaghan, S (corresponding author), Arup, Int Dev, Bangkok, Thailand.	sam.kernaghan@arup.com	Kernaghan, Sam/L-1626-2019						89	128	130	1	5	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1946-3138	1946-3146		INT J URBAN SUSTAIN	Int. J. Urban Sustain. Dev.		2012	4	2					125	145		10.1080/19463138.2012.718279	http://dx.doi.org/10.1080/19463138.2012.718279			21	Environmental Studies	Emerging Sources Citation Index (ESCI)	Environmental Sciences & Ecology	VD2VV					2023-10-25	WOS:000436563400001
J	Jabareen, Y				Jabareen, Yosef			Planning the resilient city: Concepts and strategies for coping with climate change and environmental risk	CITIES			English	Article						Urban resilience; Climate change; Environmental risks; Planning	SOCIAL-ECOLOGICAL SYSTEMS; VULNERABILITY; REGIONS; ADAPTATION; GOVERNANCE; MITIGATION; MANAGEMENT; DISASTERS; THINKING; POVERTY	This paper contributes to filling the theoretical and practical gaps of city resilience literature, which lacks multifaceted theorizing and typically overlooks the multidisciplinary and complex nature of urban resilience. Furthermore, most studies on the subject make use of general, vague, and confusing terminology. This paper suggests a new innovative conceptual framework (the Resilient City Planning Framework or RCPF) that addresses the critical question of what cities and their urban communities should do in order to move towards a more resilient state in the future. Accordingly, the RCPF takes complexity and uncertainty into account. It is affected by a multiplicity of economic, social, spatial, and physical factors and its planning involves a wide range of stakeholders. RCPF is a network of four interlinked concepts that together, provide a comprehensive understanding of City Resilience. (c) 2012 Elsevier Ltd. All rights reserved.	Technion Israel Inst Technol, Fac Architecture & Town Planning, IL-32000 Haifa, Israel	Technion Israel Institute of Technology	Jabareen, Y (corresponding author), Technion Israel Inst Technol, Fac Architecture & Town Planning, IL-32000 Haifa, Israel.	jabareen@technion.ac.il		Jabareen, Yosef/0000-0002-0858-9994					130	370	404	65	822	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0264-2751	1873-6084		CITIES	Cities	APR	2013	31						220	229		10.1016/j.cities.2012.05.004	http://dx.doi.org/10.1016/j.cities.2012.05.004			10	Urban Studies	Social Science Citation Index (SSCI)	Urban Studies	121LS			Y	N	2023-10-25	WOS:000317246900022
